battery_power,blue,clock_speed,dual_sim,fc,four_g,int_memory,m_dep,mobile_wt,n_cores,pc,px_height,px_width,ram,sc_h,sc_w,talk_time,three_g,touch_screen,wifi,price_range
1697,0,0.5,0,0,1,60,0.1,90,4,0,88,1046.0,441.0,15,1,11,1,1,0,0
1417,1,0.5,0,10,1,45,0.9,166,4,19,364,1029.0,1.0,13,9,12,1,0,1,0
834,0,0.5,0,2,1,27,0.2,123,1,16,1421,1463.0,1591.0,11,9,20,1,1,0,1
685,0,2.7,0,7,0,17,0.3,174,6,20,725,870.0,1.0,8,0,18,1,0,1,0
797,0,2.2,1,0,0,37,0.9,144,7,2,206,1167.0,1.0,9,5,6,1,0,0,0
1763,0,2.9,1,1,1,53,0.2,101,4,20,138,806.0,1.0,12,9,17,1,1,1,1
1082,0,0.8,0,0,0,38,0.1,198,8,5,986,1191.0,2337.0,6,1,17,0,1,1,1
657,1,1.9,1,2,0,21,0.1,110,8,8,705,1905.0,783.0,6,1,11,1,1,0,0
786,0,2.2,1,0,0,33,0.5,141,7,6,507,1697.0,2390.0,12,11,5,1,0,1,1
1986,1,0.5,1,7,1,39,0.1,89,7,19,251,599.0,3476.0,11,8,17,1,1,0,1
942,0,1.4,1,8,0,27,0.5,91,4,9,754,1532.0,1.0,6,3,13,0,1,1,0
821,0,1.8,1,5,0,54,0.1,109,3,9,253,1786.0,3185.0,8,4,15,1,0,0,1
1138,0,,0,5,1,48,0.6,109,3,14,233,1777.0,2048.0,6,0,18,1,1,1,1
1808,1,0.5,1,1,0,31,0.5,92,2,16,714,1208.0,1.0,9,1,8,0,0,1,1
1514,1,1.4,0,3,1,12,0.6,138,3,4,306,538.0,1037.0,15,3,15,1,0,1,0
1867,0,2.3,0,0,1,9,0.1,191,6,3,712,1442.0,1.0,6,1,2,1,0,1,0
1242,0,1.1,1,0,0,10,0.6,165,2,1,459,1225.0,1050.0,11,1,4,1,0,1,0
864,0,2.5,0,10,1,24,0.7,148,4,15,1362,1378.0,3964.0,13,8,12,1,1,0,1
1289,0,,0,10,1,25,1.0,178,6,12,765,899.0,1043.0,6,2,11,1,1,0,0
600,0,2.5,1,8,1,22,0.1,145,1,11,207,1162.0,3441.0,19,1,5,1,0,0,1
1349,0,2.0,1,15,0,62,0.3,114,5,16,592,772.0,2756.0,11,3,4,1,0,0,1
612,1,,0,6,0,35,0.6,181,5,12,1294,1337.0,3169.0,14,9,6,0,0,0,1
1325,0,1.9,0,2,0,50,0.1,146,1,10,499,695.0,2328.0,17,10,2,1,0,0,1
1831,1,2.2,1,4,0,55,1.0,189,8,9,1693,1790.0,1133.0,14,3,10,0,1,0,0
946,0,2.1,0,0,1,19,0.2,154,8,0,159,630.0,1.0,7,4,16,1,1,0,0
1136,1,1.6,0,15,0,32,0.5,150,6,19,961,1030.0,3210.0,10,3,8,1,1,1,1
1280,1,1.3,0,0,1,39,1.0,108,7,1,356,588.0,2335.0,6,4,2,1,0,1,0
1391,0,1.4,0,2,1,36,0.8,182,1,6,14,1256.0,1.0,14,7,14,1,1,0,1
618,1,1.0,0,9,1,13,0.1,80,4,15,591,724.0,1424.0,15,12,7,1,1,0,0
1154,0,2.0,0,6,1,35,0.8,159,5,16,1003,1827.0,3262.0,16,15,16,1,0,0,1
1487,0,1.5,0,5,1,42,0.8,120,2,7,857,989.0,2003.0,12,4,3,1,0,0,1
1822,0,1.2,0,0,0,8,0.2,195,6,0,172,910.0,2577.0,9,5,8,1,1,0,1
577,0,2.4,0,8,1,37,0.9,161,6,20,1087,,814.0,11,7,19,1,1,1,0
831,0,2.4,0,10,0,55,0.5,86,6,12,172,1239.0,1075.0,12,11,3,1,1,0,0
1772,1,1.6,0,17,1,45,0.5,159,2,18,837,1405.0,1146.0,6,1,17,1,1,0,0
644,1,2.7,0,0,0,22,0.7,157,8,3,311,881.0,1262.0,12,1,15,1,0,0,1
754,0,0.5,1,7,1,59,0.7,178,7,10,1914,1928.0,1027.0,6,3,5,1,0,0,0
1837,0,0.5,0,9,0,36,0.9,162,4,20,786,,770.0,14,1,15,0,0,1,0
1656,1,1.6,1,0,0,16,1.0,117,7,2,320,899.0,2856.0,14,3,20,1,1,1,1
1546,1,1.6,1,2,1,27,0.7,124,2,6,1138,,267.0,12,10,16,1,1,0,0
793,0,1.0,1,5,1,30,0.9,133,2,15,1858,1935.0,2332.0,17,13,14,1,1,1,1
616,0,1.9,1,13,1,44,0.8,81,3,17,651,1618.0,3366.0,18,8,13,1,1,0,1
530,0,2.4,0,1,0,32,0.3,88,6,20,48,1012.0,1.0,17,7,6,0,1,0,0
867,0,1.4,1,0,1,4,0.7,135,6,1,70,1974.0,1.0,13,6,3,1,1,0,0
827,1,,1,9,1,35,0.2,87,6,17,23,826.0,2367.0,5,3,15,1,0,1,0
1778,0,0.5,0,0,0,15,0.5,102,3,0,1445,1954.0,1214.0,5,0,14,1,0,0,0
713,0,1.4,1,4,0,53,0.8,98,1,17,123,1477.0,1462.0,19,18,13,1,0,1,1
1957,0,,1,18,1,36,0.8,151,2,19,1194,1727.0,1.0,16,2,18,1,0,1,0
603,0,1.5,0,8,0,12,0.7,114,6,20,1003,,1543.0,7,5,19,1,1,0,0
1664,1,2.9,1,9,1,15,0.5,177,7,19,1178,1929.0,1968.0,12,7,9,1,0,0,1
1190,0,,1,0,0,40,0.2,93,5,1,1399,1646.0,1.0,13,7,9,0,0,1,1
987,0,,1,1,0,20,0.8,192,7,3,412,565.0,1.0,11,3,8,1,1,0,0
1617,0,1.5,0,1,1,63,0.7,111,2,10,274,1079.0,2754.0,19,10,8,1,1,1,1
1540,0,0.7,1,0,1,29,0.1,157,7,1,318,831.0,1161.0,11,8,5,1,0,0,0
1869,0,2.6,0,0,1,30,0.4,152,1,13,163,874.0,1375.0,15,3,19,1,0,0,0
1946,0,2.7,1,8,0,8,0.3,123,8,19,647,,3117.0,6,0,2,1,0,0,1
1179,1,0.5,0,7,1,32,0.3,182,2,12,85,1451.0,340.0,16,5,16,1,0,0,0
709,1,,1,0,0,35,0.1,136,1,0,1545,1596.0,1973.0,12,9,16,0,1,1,0
1595,0,,1,1,0,63,0.9,88,1,20,1475,1988.0,1.0,18,13,6,0,0,1,1
1569,1,1.6,1,4,1,54,0.9,190,4,6,371,665.0,1.0,6,2,4,1,0,0,1
1087,0,,0,0,1,16,0.3,166,3,9,295,589.0,1.0,14,6,6,1,0,1,0
1054,1,1.8,1,3,1,40,0.8,196,7,10,27,774.0,1.0,16,12,12,1,0,1,1
1005,0,0.5,0,0,0,46,0.4,133,8,17,176,1556.0,3884.0,17,0,20,0,1,1,1
1653,0,,1,2,1,37,0.9,176,4,6,447,1785.0,,19,4,18,1,1,1,1
877,0,1.3,1,9,1,46,0.8,135,1,14,457,652.0,1.0,14,12,6,1,0,0,1
616,1,2.2,0,3,1,21,0.8,150,7,4,347,513.0,3267.0,17,9,19,1,0,0,1
1412,0,0.6,0,9,0,57,0.2,86,3,10,2,660.0,1.0,15,10,18,0,0,1,0
1665,1,0.5,0,3,1,60,0.2,194,6,18,1572,1684.0,1.0,18,17,14,1,0,0,1
1747,1,0.9,0,6,1,48,0.7,94,3,19,947,1131.0,2362.0,17,2,19,1,1,0,1
1176,1,2.1,0,2,1,62,0.5,168,2,10,674,1455.0,1534.0,6,2,17,1,0,0,0
1568,1,0.5,0,16,0,33,1.0,150,8,20,413,654.0,508.0,5,1,6,1,1,1,0
1482,0,0.5,0,2,0,48,0.2,142,7,10,634,642.0,2971.0,12,8,12,1,1,1,1
1956,0,2.2,0,0,1,37,0.5,87,3,2,185,776.0,1.0,13,1,19,1,1,0,0
559,1,0.5,0,10,0,11,0.4,82,5,14,541,,2019.0,10,4,16,1,1,1,0
769,1,2.9,1,0,0,9,0.1,182,5,1,248,874.0,3946.0,5,2,7,0,0,0,1
